"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Together as One","","R","9143","2.29","5743","2.23","31853","85.0%","58.6%","5271","62.9%","9514","67.8%","14785","66.1%","15780","50.4%","15.7pp"
"Practiced Offense","W","R","7635","1.89","4861","1.87","29442","90.9%","60.2%","5006","63.6%","7760","66.7%","12766","65.5%","16472","55.8%","9.7pp"
"Antiquities on the Loose","W","R","8127","2.03","4809","2.03","28666","89.7%","60.1%","5148","65.8%","7524","64.6%","12672","65.1%","15789","56.0%","9.1pp"
"Ark of Hunger","WR","R","9049","2.28","5415","2.20","31442","88.3%","59.5%","5540","64.4%","8945","65.1%","14485","64.8%","16621","54.9%","10.0pp"
"Emeritus of Ideation","U","M","2747","1.39","2093","1.38","11884","88.2%","57.8%","2016","62.2%","3631","66.0%","5647","64.7%","5882","50.7%","14.0pp"
"Moment of Reckoning","WB","R","10543","2.60","4598","2.57","23711","78.4%","59.0%","3902","60.5%","6669","66.5%","10571","64.2%","12672","54.0%","10.3pp"
"Improvisation Capstone","R","M","3703","1.86","2419","1.84","14015","88.7%","58.7%","2450","62.7%","4195","64.5%","6645","63.8%","6761","52.9%","10.9pp"
"Stirring Hopesinger","W","R","6413","1.63","4362","1.60","26664","92.8%","59.3%","4773","63.8%","7268","63.6%","12041","63.7%","14525","55.4%","8.2pp"
"Professor Dellian Fel","BG","M","2744","1.32","1969","1.30","10979","86.5%","56.8%","1908","61.1%","2964","63.8%","4872","62.7%","5921","51.6%","11.2pp"
"Crackle with Power","R","M","1121","2.43","592","2.44","3521","91.4%","59.0%","581","55.8%","1113","66.3%","1694","62.7%","1689","53.8%","8.9pp"
"Colorstorm Stallion","UR","R","8600","2.14","4712","2.11","26671","87.7%","57.2%","4579","62.5%","8004","62.7%","12583","62.6%","13301","51.5%","11.1pp"
"Informed Inkwright","W","R","7273","1.85","4359","1.83","25843","90.9%","58.8%","4700","64.2%","6754","61.4%","11454","62.6%","14258","55.7%","6.9pp"
"Snarl Song","G","U","43485","4.82","12792","5.35","61280","74.9%","57.4%","10210","57.6%","18716","64.8%","28926","62.3%","30558","52.0%","10.3pp"
"Subterranean Tremors","R","M","995","2.17","527","2.23","3072","89.7%","57.0%","546","58.6%","919","63.8%","1465","61.8%","1476","51.2%","10.6pp"
"Environmental Scientist","G","U","27268","2.86","10406","3.17","58534","87.8%","56.7%","10877","62.9%","15411","60.7%","26288","61.6%","31343","52.5%","9.1pp"
"Hardened Academic","WR","R","10749","2.66","4554","2.68","24626","83.5%","58.8%","4305","62.6%","6780","60.9%","11085","61.6%","13556","56.4%","5.2pp"
"Exhibition Tidecaller","U","R","10885","2.65","4712","2.66","26002","85.6%","56.9%","4470","58.2%","7941","63.3%","12411","61.5%","12766","51.7%","9.8pp"
"Mathemagics","U","M","5479","2.66","2316","2.69","12056","82.0%","56.9%","2074","54.6%","3818","65.2%","5892","61.5%","5576","50.4%","11.0pp"
"Winds of Abandon","W","M","1029","2.22","542","2.28","3104","90.8%","57.3%","526","54.6%","893","65.5%","1419","61.5%","1662","53.4%","8.0pp"
"Quandrix, the Proof","UG","M","2839","1.45","2002","1.41","11318","89.7%","56.1%","1953","59.9%","3475","62.3%","5428","61.4%","5555","49.9%","11.5pp"
"Ambitious Augmenter","G","R","8644","2.11","4095","2.14","22116","86.0%","56.1%","3986","63.5%","5701","59.4%","9687","61.1%","12106","52.2%","8.9pp"
"Moseo, Vein's New Dean","B","R","7897","1.91","3901","1.91","21769","87.1%","57.0%","3821","60.7%","5558","61.2%","9379","61.0%","12055","53.8%","7.2pp"
"Arcane Omens","B","U","56092","6.55","11118","7.93","33646","47.7%","56.7%","5653","57.4%","10091","62.9%","15744","61.0%","17235","52.3%","8.7pp"
"Splatter Technique","UR","R","9989","2.46","4724","2.46","25659","85.2%","56.4%","4404","57.6%","7833","62.8%","12237","60.9%","12092","50.8%","10.1pp"
"Postmortem Professor","B","R","9784","2.38","3672","2.49","20168","84.9%","57.6%","3729","64.6%","4818","58.0%","8547","60.9%","11529","55.1%","5.8pp"
"Dismember","B","R","1684","1.77","1011","1.87","6287","96.7%","57.3%","1125","60.1%","1692","61.3%","2817","60.8%","3388","54.0%","6.9pp"
"Traumatic Critique","UR","R","8825","2.14","4904","2.15","27674","88.8%","56.5%","4731","57.7%","8319","62.6%","13050","60.8%","13316","51.3%","9.5pp"
"Scolding Administrator","WB","U","34327","3.75","8314","4.39","43882","80.9%","58.5%","7681","62.6%","10901","59.5%","18582","60.8%","25191","56.8%","4.0pp"
"Reprieve","W","R","3784","3.61","1098","4.07","5619","79.3%","57.3%","1022","59.8%","1503","61.3%","2525","60.7%","3040","54.3%","6.4pp"
"Stress Dream","UR","U","32873","3.46","11532","3.97","65568","88.9%","56.7%","11038","56.9%","19895","62.7%","30933","60.7%","32102","52.3%","8.3pp"
"Brotherhood's End","R","R","3359","3.35","923","3.86","4486","75.5%","56.8%","771","58.2%","1331","61.8%","2102","60.5%","2268","53.1%","7.4pp"
"Blech, Loafing Pest","BG","R","9702","2.41","3469","2.40","17265","79.4%","55.6%","3032","62.6%","4333","59.0%","7365","60.5%","9657","51.7%","8.8pp"
"Molten Note","WR","U","40571","4.30","11351","5.06","59730","81.5%","58.2%","10091","57.8%","16661","61.9%","26752","60.3%","32528","56.3%","4.0pp"
"Emeritus of Woe","B","M","2970","1.44","2028","1.41","11327","87.2%","57.0%","1912","59.9%","3088","60.6%","5000","60.3%","6169","54.1%","6.2pp"
"Pursue the Past","WR","C","128419","6.45","25644","8.12","106471","64.5%","58.5%","18442","59.4%","28493","60.8%","46935","60.3%","59218","57.1%","3.2pp"
"Molten-Core Maestro","R","R","7832","1.93","4611","1.95","27403","93.4%","56.8%","4947","61.9%","7836","59.2%","12783","60.2%","14247","53.8%","6.5pp"
"Stock Up","U","U","26109","2.86","10072","3.25","58044","90.9%","56.2%","10159","57.5%","17139","61.8%","27298","60.2%","29373","52.1%","8.1pp"
